Scan recorded at Sun Apr  5 04:21:46 2026
Possible path found: /profile => 500 | 1043 | None | 117 words | 49 lines
Possible path found: /api => 500 | 3011 | None | 199 words | 49 lines
Possible path found: /api.html => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /api.php => 500 | 3019 | None | 199 words | 49 lines
Possible path found: /api.aspx => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /api.txt => 500 | 3019 | None | 199 words | 49 lines
Possible path found: /api.xml => 500 | 3019 | None | 199 words | 49 lines
Possible path found: /api.log => 500 | 3019 | None | 199 words | 49 lines
Possible path found: /api.jsp => 500 | 3019 | None | 199 words | 49 lines
Possible path found: /api.css => 500 | 3019 | None | 199 words | 49 lines
Possible path found: /api.js => 500 | 3017 | None | 199 words | 49 lines
Possible path found: /api.gz => 500 | 3017 | None | 199 words | 49 lines
Possible path found: /api.tar => 500 | 3019 | None | 199 words | 49 lines
Possible path found: /api.bak => 500 | 3019 | None | 199 words | 49 lines
Possible path found: /api.json => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /api.zip => 500 | 3019 | None | 199 words | 49 lines
Possible path found: /api.inc => 500 | 3019 | None | 199 words | 49 lines
Possible path found: /api.backup => 500 | 3025 | None | 199 words | 49 lines
Possible path found: /api.old => 500 | 3019 | None | 199 words | 49 lines
Possible path found: /api.conf => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /apis.php => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /apis.txt => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /api.config => 500 | 3025 | None | 199 words | 49 lines
Possible path found: /apis => 500 | 3013 | None | 199 words | 49 lines
Possible path found: /apis.html => 500 | 3023 | None | 199 words | 49 lines
Possible path found: /apis.aspx => 500 | 3023 | None | 199 words | 49 lines
Possible path found: /apis.js => 500 | 3019 | None | 199 words | 49 lines
Possible path found: /apis.log => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /apis.css => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /apis.jsp => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /apis.json => 500 | 3023 | None | 199 words | 49 lines
Possible path found: /apis.gz => 500 | 3019 | None | 199 words | 49 lines
Possible path found: /apis.bak => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /apis.tar => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /apis.zip => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /apis.xml => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /apis.conf => 500 | 3023 | None | 199 words | 49 lines
Possible path found: /apis.inc => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /apis.old => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /apis.backup => 500 | 3027 | None | 199 words | 49 lines
Possible path found: /apis.config => 500 | 3027 | None | 199 words | 49 lines
Possible path found: /api/v1.php => 500 | 3025 | None | 199 words | 49 lines
